aix-005-22,0,800000,sil
aix-005-22,800000,3500000,f
aix-005-22,3500000,4300000,a
aix-005-22,4300000,5200000,d
aix-005-22,5200000,7200000,e
aix-005-22,7200000,7200000,sp
aix-005-22,7200000,8000000,sil
aix-005-15,0,800000,sil
aix-005-15,800000,2800000,b
aix-005-15,2800000,3700000,a
aix-005-15,3700000,4500000,b
aix-005-15,4500000,7000000,i
aix-005-15,7000000,7000000,sp
aix-005-15,7000000,7900000,sil
aix-008-46,0,500000,sil
aix-008-46,500000,1600000,p
aix-008-46,1600000,2900000,on
aix-008-46,2900000,4000000,p
aix-008-46,4000000,6200000,e
aix-008-46,6200000,6200000,sp
aix-008-46,6200000,6600000,sil
aix-005-39,0,800000,sil
aix-005-39,800000,2000000,l
aix-005-39,2000000,3200000,i
aix-005-39,3200000,4900000,s
aix-005-39,4900000,7100000,e
aix-005-39,7100000,7100000,sp
aix-005-39,7100000,7800000,sil
aix-008-01,0,600000,sil
aix-008-01,600000,1300000,b
aix-008-01,1300000,2000000,i
aix-008-01,2000000,2600000,z
aix-008-01,2600000,3400000,n
aix-008-01,3400000,7100000,E
aix-008-01,7100000,7400000,s
aix-008-01,7400000,7600000,sp
aix-008-01,7600000,8100000,sil
aix-008-52,0,800000,sil
aix-008-52,800000,1900000,m
aix-008-52,1900000,3100000,o
aix-008-52,3100000,4100000,k
aix-008-52,4100000,6600000,a
aix-008-52,6600000,6600000,sp
aix-008-52,6600000,6800000,sil
aix-005-59,0,700000,sil
aix-005-59,700000,2000000,R
aix-005-59,2000000,2600000,i
aix-005-59,2600000,3600000,d
aix-005-59,3600000,5700000,e
aix-005-59,5700000,5700000,sp
aix-005-59,5700000,6500000,sil
aix-007-42,0,500000,sil
aix-007-42,500000,1600000,k
aix-007-42,1600000,1900000,o
aix-007-42,1900000,2900000,l
aix-007-42,2900000,5000000,a
aix-007-42,5000000,5000000,sp
aix-007-42,5000000,5500000,sil
aix-005-45,0,10900000,sil
aix-005-45,10900000,12000000,m
aix-005-45,12000000,12700000,e
aix-005-45,12700000,14100000,t
aix-005-45,14100000,17400000,a
aix-005-45,17400000,17400000,sp
aix-005-45,17400000,17600000,sil
aix-008-04,0,500000,sil
aix-008-04,500000,1500000,k
aix-008-04,1500000,2100000,a
aix-008-04,2100000,3100000,m
aix-008-04,3100000,5600000,a
aix-008-04,5600000,5600000,sp
aix-008-04,5600000,5800000,sil
aix-005-06,0,8700000,sil
aix-005-06,8700000,10300000,R
aix-005-06,10300000,11100000,a
aix-005-06,11100000,12200000,d
aix-005-06,12200000,14000000,e
aix-005-06,14000000,14000000,sp
aix-005-06,14000000,14900000,sil
aix-008-07,0,500000,sil
aix-008-07,500000,1400000,k
aix-008-07,1400000,2400000,o
aix-008-07,2400000,3500000,k
aix-008-07,3500000,6100000,a
aix-008-07,6100000,6100000,sp
aix-008-07,6100000,6300000,sil
aix-005-47,0,400000,sil
aix-005-47,400000,1300000,p
aix-005-47,1300000,1800000,e
aix-005-47,1800000,5400000,i
aix-005-47,5400000,5400000,sp
aix-005-47,5400000,5600000,sil
aix-006-24,0,500000,sil
aix-006-24,500000,1200000,p
aix-006-24,1200000,2600000,an
aix-006-24,2600000,4000000,s
aix-006-24,4000000,6100000,e
aix-006-24,6100000,6100000,sp
aix-006-24,6100000,6800000,sil
aix-005-55,0,800000,sil
aix-005-55,800000,2500000,n
aix-005-55,2500000,3500000,e
aix-005-55,3500000,5700000,Z
aix-005-55,5700000,7100000,e
aix-005-55,7100000,7100000,sp
aix-005-55,7100000,7900000,sil
aix-005-03,0,1300000,sil
aix-005-03,1300000,4000000,o
